DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1984/12/16 04:27:25.80,36.1490,-83.7390,12.50,0.10,Mc,5,242,11,0.10,SE,
1984/12/20 08:24:48.40,36.4060,-83.8530,27.40,1.40,Mc,12,170,23,0.10,SE,
1984/12/21 13:12:21.90,38.1980,-80.2080,5.80,1.60,Mc,22,223,26,0.40,SE,
1984/12/22 14:28:30.40,36.1260,-83.7070,11.50,1.40,Mc,7,190,15,0.30,SE,
1984/12/23 20:12:52.50,35.5470,-83.2550,9.60,2.20,Mc,14,83,32,0.10,SE,
1985/01/14 10:23:09.90,35.6600,-83.6360,13.10,0.50,Mc,5,224,13,0.10,SE,
1985/01/26 19:06:46.97,40.9930,-73.8280,5.20,2.20,Unk,2,,,0.00,PAL,198501264042
1985/02/07 08:04:46.50,35.9870,-83.8090,12.30,2.30,Mc,16,182,9,0.10,SE,
1985/02/26 23:52:23.50,36.2670,-83.5420,6.10,1.80,Mc,26,155,28,0.10,SE,
1985/03/12 13:04:47.60,35.8800,-83.6060,21.20,2.30,Mc,21,96,18,0.10,SE,
1985/04/22 18:21:16.00,37.6030,-78.5990,4.50,2.00,Mc,15,111,44,0.20,SE,
1985/06/14 07:57:10.20,37.5340,-81.0200,2.40,0.80,Mc,7,242,17,0.20,SE,
1985/08/12 00:44:03.30,36.4460,-83.3610,10.50,1.40,Mc,14,172,18,0.20,SE,
1985/08/15 17:31:52.90,35.6660,-83.9490,13.80,2.30,Mc,21,152,16,0.10,SE,
1985/08/25 01:52:46.70,36.0990,-83.6970,3.70,1.70,Mc,29,60,25,0.10,SE,
1985/09/02 04:34:03.90,37.7660,-78.1330,8.20,0.60,Mc,5,353,4,0.10,SE,
1985/09/02 04:58:00.50,37.7370,-78.1640,10.00,0.90,Mc,7,356,8,0.20,SE,
1985/10/10 08:43:56.70,36.4560,-83.5250,15.10,1.70,Mc,17,117,21,0.20,SE,
1985/10/11 01:47:50.70,39.7680,-75.5590,,1.90,Mc,3,162,4,,SE,
1985/10/19 10:05:46.00,40.9900,-73.8200,5.00,2.00,Unk,5,,,0.00,PAL,198510194013
1985/10/20 07:55:26.60,39.7640,-75.5510,,1.70,Mc,3,162,5,,SE,
1985/11/05 00:59:29.20,36.3270,-83.6220,7.90,1.50,Mc,19,195,24,0.20,SE,
1985/11/22 13:19:26.50,36.1000,-83.8150,10.60,1.50,Mc,12,115,11,0.10,SE,
1986/01/05 03:35:56.40,40.9890,-73.8330,5.20,1.80,Unk,6,,,0.00,PAL,198601054009
1986/01/27 06:46:00.40,35.9180,-83.6250,15.40,2.20,Mc,12,187,20,0.10,SE,
1986/01/30 11:45:32.60,36.0990,-83.7480,10.10,1.90,Mc,14,95,14,0.10,SE,
1986/02/02 21:50:48.10,37.6030,-77.3880,16.10,1.30,Mc,14,189,55,0.30,SE,
1986/02/03 00:53:06.80,35.9280,-83.6340,19.10,1.30,Mc,13,86,21,0.10,SE,
1986/02/07 18:36:22.34,41.6450,-81.1570,6.20,2.50,Unk,1,,,0.00,GLD,198602074027
1986/02/26 21:53:20.80,38.5070,-79.2920,11.00,2.30,Mc,8,254,49,0.60,SE,
1986/04/27 22:30:26.40,35.9190,-83.7290,19.70,2.10,Mc,22,72,14,0.10,SE,
1986/05/02 13:53:52.62,39.9250,-76.2930,5.00,2.50,Unk,5,,,0.42,NEI,198605024031
1986/05/18 02:18:05.20,35.5080,-83.6420,15.70,0.90,Mc,10,141,21,0.10,SE,
1986/05/23 17:48:12.20,38.6890,-77.0380,0.20,2.50,Mc,13,315,61,0.30,SE,
1986/06/24 22:54:46.50,35.9860,-83.9310,24.10,1.80,Mc,29,59,8,0.10,SE,
1986/07/04 21:55:09.80,36.0600,-83.6560,18.10,1.20,Mc,16,177,23,0.10,SE,
1986/07/05 21:16:12.30,35.8870,-83.9000,3.60,1.60,Mc,11,147,28,0.20,SE,
1986/07/12 17:25:06.90,36.0300,-83.6710,12.80,2.30,Mc,29,63,22,0.10,SE,
1986/07/20 19:24:04.30,38.0880,-78.5230,12.20,1.10,Mc,5,291,13,0.10,SE,
1986/08/09 07:58:17.30,36.7870,-80.7270,10.50,2.20,Mc,16,182,27,0.20,SE,
1986/08/17 06:04:10.20,36.3600,-83.9650,23.80,1.90,Mc,23,118,21,0.20,SE,
1986/09/30 05:29:33.10,37.7920,-77.6980,11.30,1.60,Mc,7,279,25,0.10,SE,
1986/10/03 10:21:49.50,35.8050,-80.4560,0.20,2.50,Mc,17,260,69,0.30,SE,
1986/10/25 21:16:23.11,43.4090,-71.6060,5.00,1.90,Unk,13,,,0.71,NEI,198610254035
1986/10/26 08:19:33.30,35.9030,-83.9170,18.90,1.20,Mc,11,146,4,0.20,SE,
1986/11/02 03:44:40.20,36.2940,-83.5150,12.50,1.30,Mc,16,181,31,0.10,SE,
1986/11/03 05:14:40.80,37.9130,-78.3590,2.30,0.80,Mc,8,190,12,0.10,SE,
1986/11/06 03:26:46.40,36.9720,-83.7930,14.90,2.00,Mc,29,151,43,0.20,SE,
1986/11/15 12:07:56.20,35.8850,-83.8260,13.90,2.10,Mc,40,48,7,0.20,SE,
1986/11/21 18:50:34.20,35.7250,-83.5550,14.50,1.80,Mc,35,54,21,0.30,SE,
1986/12/03 09:44:21.20,37.5800,-77.4580,1.60,1.50,Mc,11,208,54,0.20,SE,
1986/12/10 11:30:06.10,37.5850,-77.4680,1.20,2.50,ML,14,207,14,0.20,SE,
1986/12/20 08:13:12.80,38.0580,-80.6430,13.80,1.20,Mc,10,238,55,0.20,SE,
1986/12/20 13:15:31.04,40.9990,-73.8310,4.90,1.90,Unk,14,,,0.00,PAL,198612204016
1986/12/21 13:31:43.70,35.9050,-83.8800,17.20,0.30,Mc,9,205,2,0.10,SE,
1986/12/24 17:58:38.30,37.5830,-77.4580,1.00,1.60,Mc,13,208,53,0.20,SE,
1987/01/13 11:11:38.80,38.3400,-83.4150,25.80,2.30,Mc,23,191,34,0.20,SE,
1987/01/13 14:50:40.90,37.5840,-77.4650,2.50,1.90,Mc,11,207,57,0.10,SE,
1987/01/17 10:12:03.50,36.2530,-83.9950,26.00,0.00,Mc,13,310,15,0.10,SE,
1987/01/27 10:10:00.70,35.8220,-80.4460,5.00,2.10,Mc,24,260,69,0.50,SE,
1987/02/01 12:01:55.80,39.3000,-82.4400,4.00,0.00,ML,,,,,NM,
1987/02/08 01:13:05.00,36.0620,-83.7740,14.10,0.80,Mc,7,202,16,0.10,SE,
1987/04/04 14:23:55.10,35.8060,-83.8680,20.70,0.00,Mc,12,142,19,0.10,SE,
1987/04/05 01:40:28.30,37.2820,-78.6420,6.30,2.00,Mc,13,209,27,0.30,SE,
1987/04/11 03:30:20.90,37.6640,-77.9030,8.70,1.70,Mc,16,136,23,0.20,SE,
1987/04/14 03:09:00.90,37.8620,-77.5430,11.70,0.60,Mc,11,256,24,0.20,SE,
1987/05/12 12:17:59.60,35.9880,-83.9980,13.30,1.00,Mc,12,138,13,0.10,SE,
1987/05/16 00:55:07.50,36.2870,-83.7730,19.10,0.90,Mc,29,154,11,0.20,SE,
1987/07/11 00:22:18.70,36.1050,-83.8150,22.20,2.00,Mc,50,48,11,0.20,SE,
1987/07/11 22:24:10.50,35.8770,-83.6550,15.30,0.60,Mc,13,117,18,0.20,SE,
1987/07/14 23:02:12.00,35.8010,-83.9870,16.00,0.30,Mc,12,143,17,0.20,SE,
1987/07/17 08:19:11.10,35.9840,-83.8580,13.10,2.40,Mc,61,32,16,0.20,SE,
1987/07/17 15:30:25.40,36.0930,-83.8090,22.00,0.50,Mc,12,125,9,0.10,SE,
1987/09/11 14:46:33.30,41.4650,-72.5000,5.00,2.40,Unk,7,,,0.00,WES,198709114018
1987/09/16 21:32:32.30,36.0770,-83.7000,18.20,0.50,Mc,8,172,19,0.20,SE,
1987/09/19 21:56:44.20,35.8530,-82.0490,6.20,2.00,Mc,31,63,25,0.30,SE,
1987/10/19 01:05:32.90,35.8760,-82.0630,4.00,1.00,Mc,9,127,25,0.20,SE,
1987/11/04 22:17:39.30,35.5440,-83.9700,16.30,0.70,Mc,18,90,22,0.20,SE,
1987/11/04 22:19:08.20,35.5450,-83.9680,16.30,1.20,Mc,27,90,22,0.20,SE,
1987/11/08 08:46:51.20,36.3010,-83.4790,10.80,1.50,Mc,13,180,28,0.30,SE,
1987/11/18 05:59:11.30,35.6620,-83.6160,5.60,0.00,Mc,5,232,14,0.10,SE,
1987/11/21 01:03:21.00,36.7560,-80.7130,5.00,2.10,Mc,34,131,31,0.30,SE,
