EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
6844373,OTT      ,5/19/2003,34:31.7,43.2272,-77.3394,0,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,,
7000144,NEIC     ,7/17/2003,0:44:10,41.86,-80.76,2.5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OGSO     ,MN    ,2.5,OTT      ,MN    ,2.5,,,,,,,
7069979,OTT      ,8/25/2003,15:23.1,43.4684,-79.4817,,,,,,,,
,,,,,,,,,,,,,
16.8,      ,OTT      ,MN    ,2.3,,,,,,,,,
7069980,OTT      ,8/25/2003,15:31.6,43.4673,-79.469,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,,
7146911,NEIC     ,10/1/2003,07:57.4,40.572,-75.116,3.1,,,,,,,
,,,,,,,,,,,,,
TRUE  ,NEIC     ,MN    ,2.4,LDO      ,MD    ,2.2,,,,,,,
7152122,NEIC     ,10/7/2003,32:03.2,41.732,-71.571,,,,,,,,
,,,,,,,,,,,,,
6.2,TRUE  ,WES      ,MN    ,1.8,,,,,,,,,
7176066,NEIC     ,11/4/2003,37:31.8,40.251,-75.877,1,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,2.4,,,,,,,,,,
7238177,NEIC     ,1/20/2004,11:54.1,43.197,-71.771,9.6,,,,,,,
,,,,,,,,,,,,,
TRUE  ,WES      ,MN    ,2.5,,,,,,,,,,
7310104,OTT      ,3/14/2004,05:12.8,41.8999,-81.4085,18,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.2,OGSO     ,MN    ,2.4,,,,,,,
7315989,NEIC     ,3/22/2004,15:21:39,39.866,-,,,,,,,,
,,,,,,,,,,,,,
75.063,2.4,TRUE  ,NEIC     ,MN    ,2.2,LDO      ,MD    ,2.1,,,,,
7754501,OTT      ,6/26/2004,28:51.4,,,,,,,,,,
,,,,,,,,,,,,,
42.8189,-78.1842,0,TRUE  ,OTT      ,MN    ,2.1,,,,,,,
7366824,OTT      ,7/1/2004,,,,,,,,,,,
,,,,,,,,,,,,,
41:43.1,43.4885,-79.5013,18,TRUE  ,OTT      ,MN    ,2.2,,,,,,
7371845,OTT      ,,,,,,,,,,,,
,,,,,,,,,,,,,
7/15/2004,30:44.7,42.0294,-82.3651,18,TRUE  ,OTT      ,MN    ,2.2,,,,,
7393940,OTT      ,,,,,,,,,,,,
,,,,,,,,,,,,,
8/28/2004,38:37.9,43.1491,-71.7679,5,TRUE  ,OTT      ,MN    ,2.2,WES      ,MN    ,2.1,,
7416414,,,,,,,,,,,,,
,,,,,,,,,,,,,
NEIC     ,10/8/2004,2:25:46,42.52,-71.46,1,TRUE  ,WES      ,MD    ,1.8,,,,
7418400,,,,,,,,,,,,,
,,,,,,,,,,,,,
NEIC     ,10/14/2004,36:02.4,41.392,-74,10,TRUE  ,OTT      ,MN    ,2.5,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7422001,OTT      ,10/25/2004,15:48.5,43.0543,-80.868,0,TRUE  ,OTT      ,MN    ,2,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
281797,NEIC     ,12/3/2004,27:14.0,37.878,-77.963,10,TRUE  ,BLA      ,MN    ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7459041,OTT      ,1/4/2005,43:43.3,40.6094,-80.9931,0,TRUE  ,OTT      ,MN    ,2.5,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
462707,OTT      ,1/19/2005,01:58.5,43.2296,-81.1597,0,TRUE  ,OTT      ,MN    ,2,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
468877,OTT      ,2/1/2005,01:14.2,41.8213,-81.1143,5,TRUE  ,OTT      ,MN    ,2.5,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
470709,OTT      ,2/8/2005,15:21.1,43.4616,-79.1299,5,TRUE  ,OTT      ,MN    ,2.1,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
471200,OTT      ,2/10/2005,39:15.6,41.6787,-80.3194,5,TRUE  ,OTT      ,MN    ,2,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
474247,OTT      ,2/23/2005,12:09.9,41.8788,-80.9867,5,TRUE  ,OTT      ,MN    ,2,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
474367,NEIC     ,2/23/2005,22:44.1,39.26,-76.588,9,TRUE  ,LDO      ,MD    ,2.1,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8559074,OTT      ,3/1/2005,44:11.3,42.1358,-82.5729,5,TRUE  ,OTT      ,MN    ,2.4,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
559093,OTT      ,3/2/2005,50:04.4,42.2338,-81.1604,5,TRUE  ,OTT      ,MN    ,2,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
559094,OTT      ,3/2/2005,53:17.3,41.8029,-80.9855,5,TRUE  ,OTT      ,MN    ,2.2,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
559353,OTT      ,3/15/2005,08:04.2,42.8621,-78.1941,18,TRUE  ,OTT      ,MN    ,2.1,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
559533,OTT      ,3/26/2005,19:43.9,39.9839,-81.3364,18,TRUE  ,OTT      ,MN    ,2.3,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
559633,OTT      ,3/31/2005,27:34.3,43.3737,-78.5434,5,TRUE  ,OTT      ,MN    ,2,,,
8,,,,,,,,,,,,,
,,,,,,,,,,,,,
592215,OTT      ,4/20/2005,36:09.2,41.6162,-80.4093,5,TRUE  ,OTT      ,MN    ,2.2,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
494266,NEIC     ,4/23/2005,14:24:51,40.885,-74.069,6.6,TRUE  ,LDO      ,MD    ,1.9,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
564467,OTT      ,8/13/2005,43:28.8,42.0678,-80.4998,5,TRUE  ,OTT      ,MN    ,2.4,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
553021,NEIC     ,8/25/2005,12:56:31,35.876,-82.809,8,TRUE  ,CERI     ,MD    ,2.5,,,
7,,,,,,,,,,,,,
,,,,,,,,,,,,,
519763,NEIC     ,9/5/2005,02:35.8,38.19,-83.93,12.8,TRUE  ,CERI     ,MD    ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7749873,NEIC     ,11/13/2005,02:15.3,41.816,-81.18,5,TRUE  ,OGSO     ,MN    ,2.2,OTT      ,MN    ,2.4
,,,,,,,,,,,,,
OTT      ,MN    ,2.4,,,,,,,,,,,
7952398,NEIC     ,12/9/2005,35:46.7,40.97,-74.379,4.7,TRUE  ,LDO      ,ML    ,2.1,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8029268,OTT      ,12/11/2005,20:01.2,41.9051,-80.8087,5,TRUE  ,OTT      ,MN    ,2.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8078594,NEIC     ,1/13/2006,32:17.6,41.8,-81.45,7,TRUE  ,OGSO     ,MN    ,2.3,OTT      ,,
,,,,,,,,,,,,,
MN    ,2.5,OTT      ,MN    ,2.5,,,,,,,,,
8085375,NEIC     ,2/10/2006,13:30:42,41.75,-81.41,5,TRUE  ,LDO      ,ML ,,,,
,,,,,,,,,,,,,
   ,2.4,,,,,,,,,,,,
8106388,NEIC     ,2/17/2006,00:30.4,41.159,-74.557,8,TRUE  ,LDO      ,ML ,,,,
,,,,,,,,,,,,,
   ,0.9,,,,,,,,,,,,
9580015,OTT      ,2/27/2006,53:20.2,41.9141,-80.8397,5,TRUE  ,OTT      ,,,,,
,,,,,,,,,,,,,
MN    ,2,,,,,,,,,,,,
10606403,NEIC     ,3/19/2006,38:29.5,41.046,-73.987,1,TRUE  ,LDO      ,,,,,
,,,,,,,,,,,,,
ML    ,1.1,,,,,,,,,,,,
10607802,NEIC     ,3/21/2006,36:09.3,41.058,-73.983,0,TRUE  ,LDO      ,,,,,
,,,,,,,,,,,,,
ML    ,1.3,,,,,,,,,,,,
10611818,OTT      ,3/27/2006,24:30.5,41.8043,-81.4131,5,TRUE  ,,,,,,
,,,,,,,,,,,,,
OTT      ,MN    ,2.2,,,,,,,,,,,
8439432,OTT      ,4/6/2006,03:50.8,43.1465,-77.6932,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.2,,,,,,,,,,
8439509,OTT      ,4/10/2006,55:51.7,41.8744,-80.8667,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,OTT      ,MN    ,2.1,,,,,,,,,,
8320649,NEIC     ,4/16/2006,29:12.4,40.228,-75.995,2,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,MD    ,1,,,,,,,,,,
8320669,NEIC     ,4/17/2006,27:03.6,40.266,-76.041,2,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,ML    ,1.2,,,,,,,,,,
8338415,OTT      ,5/4/2006,50:15.6,43.4796,-79.711,5,,,,,,,
,,,,,,,,,,,,,
TRUE  ,LDO      ,ML    ,2.5,,,,,,,,,,
